IATA_Code,ICAO_Code,Airline_Name,Source
JO,JAZ,,LEGACY
JP,JTD,"Jettime",IATA
JQ,JST,,LEGACY
JR,JOY,,LEGACY
JS,KOR,"Air Koryo",IATA
JT,LNI,"Lion Air",IATA
JU,ASL,"Air Serbia",IATA
JV,BLS,,LEGACY
JW,APW,,LEGACY
JX,SJX,"STARLUX Airlines",IATA
JY,AXZ,,LEGACY
JZ,JAP,"JetSMART Peru",IATA
K1,KOQ,,LEGACY
K2,ELO,,LEGACY
K5,ABE,,LEGACY
K6,KHV,"Air Cambodia",IATA
K7,KBR,,LEGACY
K8,ZAK,,LEGACY
KA,HDA,,LEGACY
KB,DRK,,LEGACY
KC,KZR,"Air Astana",IATA
KD,KNI,,LEGACY
KE,KAL,"Korean Air",IATA
KF,BLF,,LEGACY
KG,RAW,,LEGACY
KH,KHK,,LEGACY
KI,DHI,,LEGACY
KJ,AIH,"AIRZETA",IATA
KK,KKK,,LEGACY
KL,KLM,"KLM",IATA
KM,KMM,"KM Malta Airlines",IATA
KN,CUA,"China United Airlines",IATA
KO,AER,,LEGACY
KP,SKK,"ASKY",IATA
KQ,KQA,"Kenya Airways",IATA
KR,CWK,,LEGACY
KS,PEN,,LEGACY
KT,VKJ,,LEGACY
KU,KAC,"Kuwait Airways",IATA
KV,MVD,,LEGACY
KX,CAY,,LEGACY
KY,KNA,"Kunming Airlines",IATA
KZ,NCA,"Nippon Cargo Airlines",IATA
L3,LTO,,LEGACY
L5,LTR,,LEGACY
L6,MAI,"Mauritania Airlines International",IATA
L8,LBL,,LEGACY
LA,LAN,"LATAM Airlines Group",IATA
LC,VLO,,LEGACY
LD,AHK,"Air Hong Kong",IATA
LE,LTY,,LEGACY
LF,NDC,,LEGACY
LG,LGL,"Luxair",IATA
LH,DLH,"Lufthansa",IATA
LI,LIA,,LEGACY
LJ,JNA,"Jin Air",IATA
LK,LXR,,LEGACY
LL,GRO,,LEGACY
LM,LOG,"Loganair",IATA
LN,LAA,,LEGACY
LO,LOT,"LOT Polish Airlines",IATA
LP,LPE,"LATAM Airlines Peru",IATA
LQ,LMM,,LEGACY
LR,LRC,"Avianca Costa Rica",IATA
LS,EXS,,LEGACY
LT,LTU,,LEGACY
LU,LXP,,LEGACY
LV,LBC,,LEGACY
LW,NMI,,LEGACY
LX,SWR,"SWISS",IATA
LY,ELY,"EL AL",IATA
M0,MNG,"Aero Mongolia",IATA
M1,M1F,,LEGACY
M3,LTG,"LATAM Cargo Brasil",IATA
M4,MSA,"Poste Air Cargo",IATA
M5,KEN,,LEGACY
M6,AJT,,LEGACY
M7,MAA,"MasAir",IATA
M8,TNU,,LEGACY
M9,MSI,,LEGACY
MA,MAH,,LEGACY
MB,MNB,"MNG Airlines",IATA
MD,MGY,"Madagascar Airlines",IATA
ME,MEA,"MEA",IATA
MF,CXA,"Xiamen Airlines",IATA
MH,MAS,"Malaysia Airlines",IATA
MI,SLK,,LEGACY
MJ,LPR,,LEGACY
MK,MAU,"Air Mauritius",IATA
ML,MAV,,LEGACY
MN,CAW,,LEGACY
MO,AUH,,LEGACY
MP,MPH,"Martinair Cargo",IATA
MQ,EGF,,LEGACY
MR,OME,,LEGACY
MS,MSR,"Egyptair",IATA
MT,TCX,,LEGACY
MU,CES,"China Eastern",IATA
MW,MYD,,LEGACY
MX,MXA,,LEGACY
MY,MWA,,LEGACY
MZ,MNA,,LEGACY
N4,NWS,"Nordwind Airlines",IATA
N5,SGY,,LEGACY
N7,FCM,"Norra",IATA
N8,NCR,"National Airlines",IATA
NB,SNB,,LEGACY
NC,NJS,,LEGACY
NE,NMA,"Nesma Airlines",IATA
NF,AVN,"Air Vanuatu",IATA
NG,LDA,,LEGACY
NH,ANA,"ANA",IATA
NI,PGA,"PGA-Portugalia Airlines",IATA
NJ,NGB,,LEGACY
NK,NKS,,LEGACY
NL,SAI,,LEGACY
NM,DRD,,LEGACY
NN,MOV,,LEGACY
NO,NOS,"Neos",IATA
NP,NIA,"Nile Air",IATA
NQ,AJX,,LEGACY
NR,JTO,,LEGACY
NS,HBH,"Hebei Airlines",IATA
NT,IBB,"Binter Canarias",IATA
NU,JTA,"Japan Transocean Air",IATA
NV,CRF,,LEGACY
NW,NWA,,LEGACY
NX,AMU,"Air Macau",IATA
NY,FXI,,LEGACY
NZ,ANZ,"Air New Zealand",IATA
O1,OAB,,LEGACY
O3,CSS,"SF Airlines",IATA
O6,ONE,,LEGACY
O7,OZJ,,LEGACY
O8,OHK,,LEGACY
OA,OAL,"Olympic Air",IATA
OB,BOV,"BoA Boliviana de Aviacion",IATA
OD,MXD,"Batik Air Malaysia",IATA
OE,AOT,,LEGACY
OF,OLA,"Overland Airways",IATA
OH,COM,,LEGACY
OI,ORC,,LEGACY
OJ,OLA,,LEGACY
OK,CSA,,LEGACY
OL,OLT,,LEGACY
OM,MGL,"MIAT Mongolian Airlines",IATA
ON,RON,"Nauru Airlines",IATA
OO,SKW,,LEGACY
OP,PPL,,LEGACY
OQ,CQN,,LEGACY
OR,TFL,,LEGACY
OS,AUA,"Austrian",IATA
OT,PEL,,LEGACY
OU,CTN,"Croatia Airlines",IATA
OV,OMS,"Salam Air",IATA
OX,OEA,,LEGACY
OY,OAE,,LEGACY
OZ,AAR,"Asiana Airlines",IATA
P0,PFZ,"Proflight Zambia",IATA
P4,APK,"Air Peace",IATA
P5,RPB,"Aero Republica",IATA
P6,PVG,"Privilege Style",IATA
P7,REP,,LEGACY
P8,MKG,,LEGACY
PA,IPV,,LEGACY
PC,PGT,"Pegasus Airlines",IATA
PD,POE,"Porter Airlines",IATA
PE,AEL,,LEGACY
PG,BKP,"Bangkok Airways",IATA
PH,PAO,,LEGACY
PI,PDT,,LEGACY
PJ,SPM,,LEGACY
PK,PIA,"Pakistan International Airlines",IATA
PL,ASE,,LEGACY
PM,TOS,,LEGACY
PN,CHB,"West Air",IATA
PO,PAC,"Polar Air Cargo",IATA
PP,AI0,,LEGACY
PQ,SQP,"SkyUp Airlines",IATA
PR,PAL,"Philippine Airlines",IATA
PS,AUI,,LEGACY
PU,PUE,"Plus Ultra",IATA
